fips_code,County,StateName,White_Pct,total_pop,Pct_Margin,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,less_than_hs,only_hs,associates,bachelor_or_more,less_than_hs_pct,only_hs_pct,associates_pct,bachelor_or_more_pct,male,female,WA_male,WA_female,BA_male,BA_female,IA_male,IA_female,AA_male,AA_female,NA_male,NA_female,TOM_male,TOM_female,WAC_male,WAC_female,BAC_male,BAC_female,Young_Pct,Mid_Pct,Old_Pct,Elderly_Pct,,,Predicted margin,,
37073,Gates County,NorthCarolina,0.6530012109,11562,9.3,5420,2830,2547,43,5310,2745,2532,33,5328,2371,2851,106,1145,3032,2964,1204,13.7,36.3,35.5,14.4,5725,5837,3754,3796,1751,1861,35,37,21,15,7,5,157,123,3885,3902,1847,1932,0.2223960478,0.2221490325,0.2161383285,0.1478797859,,,799.3133345,,480
37075,Graham County,NorthCarolina,0.885,8484,62.08,4171,1265,2824,82,3910,1115,2743,52,4094,761,3260,73,1151,2249,1827,815,19,37.2,30.2,13.5,20809,18028,17077,14638,555,175,2589,2669,150,138,45,32,393,376,17405,14968,692,326,0.2116963064,0.1941404469,0.2154582763,0.195622435,,,1873.636479,,2499
37077,Granville County,NorthCarolina,0.6451036514,60443,2.57,24725,13074,11447,204,26068,13529,12332,207,26920,12827,13500,593,6522,12936,12677,9243,15.8,31.3,30.6,22.3,30692,29751,19711,19281,9879,9432,290,237,193,232,35,23,584,546,20216,19755,10225,9777,0.246972064,0.2405214265,0.205412488,0.1240571822,,,2690.251552,,673
37079,Greene County,NorthCarolina,0.586,21012,9.64,8103,3796,4272,35,8194,3761,4393,40,8013,3570,4358,85,3870,4861,4640,1571,25.9,32.5,31.1,10.5,3829,4282,735,765,3033,3449,18,13,11,12,0,0,32,43,765,803,3052,3476,0.269346781,0.2152417759,0.1973324536,0.1248468282,,,185.9980553,,788
37081,Guilford County,NorthCarolina,0.5596417548,537174,-20.7,241771,142101,97718,1952,251529,145483,103964,2082,252087,147949,97461,6677,37932,82991,104817,122918,10.9,23.8,30.1,35.3,254212,282962,144895,155730,86831,103307,2018,2122,13928,14390,253,272,6287,7141,150111,161550,91116,108274,0.2876265411,0.2110013017,0.1840348884,0.1219727558,,,-57318.07418,,-50488
37083,Halifax County,NorthCarolina,0.399060188,50010,-27.11,25091,16047,8961,83,25724,16931,8686,107,24881,15642,8954,285,8203,13753,9182,5253,22.5,37.8,25.2,14.4,24099,25911,9756,10201,12753,14131,1035,1001,203,224,17,20,335,334,10032,10462,12969,14364,0.2366402478,0.2025234581,0.2133278674,0.1591873918,,,-4758.14067,,-6688
37085,Harnett County,NorthCarolina,0.7130670118,135976,24.52,40705,16785,23579,341,42343,16858,25070,415,44955,16452,27278,1225,11435,25063,29886,17367,13.7,29.9,35.7,20.7,67259,68717,48200,48760,14629,15206,1206,1141,714,1030,154,156,2356,2424,50242,50849,16068,16710,0.287188736,0.2111818433,0.1642188156,0.1037472211,,,10918.80686,,10826
37087,Haywood County,NorthCarolina,0.958855529,62317,28.76,28067,12730,14910,427,27679,11742,15553,384,30156,10414,18844,898,5383,11993,16512,11287,11.9,26.5,36.6,25,30101,32216,28804,30949,473,389,225,196,156,219,13,18,430,445,29210,31358,623,542,0.2052828903,0.2041666667,0.2223670757,0.2080777096,,,15112.45653,,8430
37089,Henderson County,NorthCarolina,0.925,117417,28.73,51614,20082,30930,602,51961,18519,32860,582,56810,19664,35535,1611,8546,20478,28435,26740,10.1,24.3,33.8,31.8,3231,3415,3153,3307,16,25,13,9,6,26,3,2,40,46,3192,3353,37,53,0.2017932539,0.1932919019,0.2110536553,0.2215854642,,,28947.92242,,15871
37091,Hertford County,NorthCarolina,0.3553237319,23677,-38.08,10650,7513,3089,48,10872,7815,3001,56,10100,6886,3081,133,3477,5307,5496,2451,20.8,31.7,32.8,14.6,11781,11896,4413,4000,6954,7479,139,167,114,66,9,3,152,181,4531,4146,7031,7584,0.2575720666,0.1978887536,0.2123832724,0.1579780755,,,-2934.614012,,-3805
